smiles,energy_gap
COC1C2OC3CC2C13,0.3147
C1CC1C1=CCCC1,0.2471
CC1CC2C(CO)N12,0.29600000000000004
CC1=C(NC=N1)C=O,0.1906
CC1CCN2C(C#N)C12,0.2618
OCC(OC1CC1)C=O,0.2124
CCC#CC(=O)C#N,0.1913
CCCC1(C)CC1CO,0.3339
CC1C=CCC1(O)C#C,0.2644
OC(C1CC1)C1CCO1,0.303
CCN=C1COCO1,0.2747
CC1=NNC2=C1CCO2,0.245
CCC1OC1CO,0.3411
C1OC11CCCN2CC12,0.302
CC1C(O)C2(CO2)C1=O,0.2021
CC1C2C3C4C(CN24)N13,0.2624
CNC1=NOC(CO)=N1,0.2228
N#CC12CC3CC1C2O3,0.2849
CC1=CC2(NC2C1)C#C,0.2312
CC1=NC(=O)C=CN1,0.2059
CC1OC(=O)C11CO1,0.2573
CC1(C)C2CC3C2C13O,0.3092
O=C1C2(CN2)CC11CN1,0.2029
O=CC(C#C)(C#N)C#N,0.2203
COC1=C(O)N(C)C=N1,0.2163
CNC(C#N)C(N)=O,0.2374
CCC(C)OC(=N)C#N,0.2384
C1OC23CC(C2)COC13,0.3168
CC1C2OC2C2OC12C,0.3176
CC1OC2CC12N1CC1,0.3104
CC1(C#N)C2C(O)CN12,0.2785
C1OC11CCCCCC1,0.3287
CCCC1CC=C(C)C1,0.2596
CN1N=C(C=C1N)C#C,0.2142
OC(C#C)C12CC(C1)O2,0.2614
COC1OC(C)=NC1C,0.2761
O=C1CCNC1C#N,0.2006
CCOC(=O)CC1CN1,0.257
CC12CC(C1)CC(=O)C2,0.2197
O=C1NC2CC3(CO3)C12,0.2681
CC1CC1(O)C(=O)CO,0.2261
CC1CCC11CC1C=O,0.2271
CC#CCC1(O)CC1C,0.2932
CCC1=C(O)NN=C1N,0.2418
CN1CC11CCNC1=O,0.25
CC1CCC(=O)CC1C,0.2226
CC(CO)COC(C)=N,0.2935
OCC1=NC=C(F)C=N1,0.1959
N=COCC1(CO1)C#N,0.266
CC12CC(O1)(C=C2)C#N,0.235
OCC1=CC2CC1CO2,0.247
C1C2OC2CC2OC12,0.3332
OCC1C(=O)OC11CC1,0.2757
CC1C2C3N2C(C)C13O,0.2943
CC(O)C1(C)CC(C)C1,0.3219
O=CC1CCC(C1)C#C,0.2275
NC1=CC=CN1CC#N,0.2147
OCC1C2CC3CC1C23,0.3284
CC1(O)C2CCOC12C,0.3044
CN1C2C1C1(O)CCC21,0.287
OC1COC(=NC1)C#C,0.2281
CC(O)C1CC1(C)C,0.3299
C#CCC12CC1CCC2,0.3105
OC1CNC1CC#N,0.2842
C1CN1C1C2OC=NC12,0.2575
ON=C1CC(C=O)C=C1,0.1792
CC1(C)OC(=N)C=C1N,0.2134
O=CC12C3C4OC1C4N23,0.2182
CC1=CNC(=O)C(F)=C1,0.1764
OC1C2CC2C=C1C#C,0.1974
N#CC1C2C1C1CCC21,0.2938
CN1CCN(C=O)C1=O,0.2379
OC1CC=CCC(=O)C1,0.218
OC1=NNC(=C1)N1CC1,0.24
OC1C2CC1N2CC#N,0.2595
O=CC(C1CC1)C1CN1,0.215
O=C(C#C)C#CCC#C,0.1894
CC1(CC1O)C1CN1,0.3131
NC(N)=[NH+]C1=N[N-]N=N1,0.198
NC1=C(CC#N)OC=C1,0.2125
CC#CC#CC(C)(C)C,0.2283
CN1CC(O)(C#N)C1=N,0.2413
O=C1C=NON=C1C#C,0.1685
NC(=[NH2+])[C-](OC=N)C#N,0.2038
CC1C2C3OC1OC23,0.3297
CC#CCC(CO)C#N,0.2829
CC1C2CC3(C)C2C13O,0.301
N=CN1CC(=O)C1C#N,0.1947
CC(=O)C1NC11CCC1,0.2207
CC(O)C1(CC=O)CN1,0.2194
CC1(CO)C2C(O)CN12,0.2912
CC1C2C(O)C2N2CC12,0.2836
CN1N=NC(C)=CC1=O,0.1815
CC12CCC1(N2)C1CN1,0.3073
NC12C(C#N)C1N1CC21,0.2483
CCC12CC3(C)C(O1)C23,0.2996
COCCC1OCC1=O,0.2244
OCC12OC3C1CC23O,0.2999
C1C2C1C13COCC21N3,0.3149
CC(C)OCCN1CC1,0.319
OC1C2C1C(O)C2O,0.3019
OC1C(O)C1(O)C#N,0.2688
CCC1=CCOC1C=O,0.2008
CC1(O)C(O)C1(O)C=O,0.2114
COC1CC2C3OC2C13,0.3068
OCC12OC1CCC2=O,0.2079
COC1C2CC(=N)OC12,0.2765
NC(=NCC1CC1)C#N,0.2166
CC1(CC#C)CN1C=O,0.2529
COCC1(O)CCC=C1,0.2651
CC1=NC=C(OC=O)O1,0.2238
N=CN(CCC#N)C=O,0.2293
CN1C(O)=CN=C1C#C,0.1926
CC12OC3(C=O)C1CC23,0.2086
C1CC2(C1)C1CCC2O1,0.322
NC(=[NH2+])[C-]1NC=CC1=O,0.1581
CCC12OC1C1NC21,0.2791
OC1(CC=O)C2CCC12,0.22
C1C2CC34COC3C1C24,0.3096
O=CC1C2OC1C2C=O,0.1919
C1C2CC1C1CC2C1,0.36
CC12C(OC1=O)C1CN21,0.247
CCCC12CC3C(C1)N23,0.3132
CN1C2CC2(O)C1=O,0.2319
CC12C3CC1=CC(O)C23,0.1787
COC12CC3C1C3(C)C2,0.3183
N=COCC1(CC1)C=O,0.2243
COCCC(=O)C(N)=O,0.1784
CCC#CC1=NON=C1,0.2059
C1CC(C1)N1C=CC=N1,0.2603
CC(C)N1CC1(C)C=O,0.2165
CCC1NC(C#N)C1O,0.2697
OC1(CC2CCO2)CC1,0.294
OCC1OCC1CC=O,0.2218
CN=C1CC(CO1)=NO,0.2351
C1N=COC2C3NC2C13,0.2631
CCC1OCC1(O)C=O,0.2195
CC1=CC=C2CCN12,0.2432
OCC12NC1CC2=NO,0.2372
CC1(C)C2CC1C21CC1,0.3596
COC1OCCC1C#C,0.3066
COC1CC(C)(C1)OC,0.3262
C1CC1OC1CCC1,0.3194
C1C2OC1C1=C2CCC1,0.2275
COC1(C)C(C)C1O,0.2948
CC1CNC(=N1)C#N,0.1986
COCC12CC(C1)C2=O,0.254
CC1CCC1C1CC1,0.3447
CC(C)OC1(C)COC1,0.3113
CC(=O)CN(C=N)C=O,0.2106
OC(CC(=O)C#N)C=O,0.196
CC1COC(C)(O1)C#C,0.2976
COC1=NC=NC=C1N,0.1979
CCOC1=NOC(N)=N1,0.254
OCC1NC11CC=CC1,0.2618
CC1C2C3C=CC1C23C,0.2349
CN1CC(C1)OC(N)=O,0.2691
CC1CCC=C(C)CC1,0.2536
CCC1C2CN2C1C=O,0.2078
CCNC(NC=O)=NC,0.1995
OCC1OC2OC1C=C2,0.2383
CNC1=CN(C)C(=O)O1,0.228
COC1CC1(C)C=O,0.2219
CC1C2CC2CC1C=O,0.221
OC1COCC2CC12,0.3107
C1OC=NC2=C1NN=C2,0.2038
CC1CCC2=CNN=C12,0.2502
C1CC2OC=NC3C1C23,0.2604
CCCC1CC2CC12,0.3378
CC1C(C)C(O)C1C,0.3062
CCC(O)C(C)O,0.3192
CCC1OC2C(C)CC12,0.3142
CC1C2C3OC2C13CO,0.2922
OCC1=C(CO)N=NO1,0.2217
CN1C2CC1(C)C21CO1,0.3052
CC1(C#C)C2CC1C2=O,0.2485
OCCC1=NNN=C1O,0.2339
FC(F)(F)C#CCC=O,0.2265
CC1C2CC1OCOC2,0.3312
CCC1=CC2OC1C2C,0.2339
CC1=C(N)C(=O)NC=N1,0.1744
COC1(CC1)C(=O)C=O,0.1552
OC1C(O)C11CN=CO1,0.2531
C[NH2+]C(C)(C)CC([O-])=O,0.1592
N=C1CC(N1)(C=O)C#N,0.1909
CN=C1OC=C(N)N=C1,0.134
CCC1(C)CCC1C=O,0.2176
COC1(C)CCN2CC12,0.3103
CC1CC2C3CC2C3O1,0.3289
CC1(C)C2OCC12C,0.3033
OC12C3NC1C3C2C=O,0.2075
CCC12NC1CC2(C)O,0.2956
CC12CCN=C3OC1C23,0.20199999999999999
CC#CCC1=NON=N1,0.1935
CC(C)C#N,0.3545
OCCOC1CC1C#C,0.2859
CC1OCC2OC3C2C13,0.3048
OC1C=CC2CC1C2=O,0.2162
CCC1OC2CC1C2C,0.32899999999999996
C1CC11C2CC3OC1C23,0.3083
N=C1CC2=CCOC2O1,0.244
OC1CC23COCC12O3,0.3055
N#CCC1CC2CN12,0.2783
OC1C2OC=NCC12O,0.265
COC1CC1CCCO,0.3247
CC1CC1C(C)(O)CO,0.308
CC(O)C1NC(=O)C1O,0.2679
CC1C=CC2OC2C1=O,0.2071
CC1OC2CC1C1CC21,0.3251
NC1CC(=O)NC1=O,0.2264
CC1=CCC2(CO)OC12,0.2438
CC1OCCOC11CC1,0.3228
CC1=C(C)C=C(O1)C#N,0.1957
OC1(CC2CC1O2)C#N,0.2747
N#CC1NC11COC1,0.2698
COCC1(C)OCC1O,0.3022
CC1=CN=C(O1)C1CC1,0.2291
CC1=NC=C(O)C=C1F,0.2058
C(C#CC1CN1)N1CC1,0.2601
O1C=CN=C2N=CN=C12,0.1608
C1OC23CC4C2CCC134,0.2956
CC1CC1C1NCC1=O,0.2175
CC1CC2OC12,0.3397
C1OC1C1OCC11CC1,0.3044
O=CC12C3CN4C(C13)C24,0.2107
COC12CC1(C)C(C)C2,0.3304
CC1NC(C=O)=NC1C,0.1645
CC1(O)C2CC2C1(C)O,0.3038
NC1=NNC2=C1ON=N2,0.166
CNC1=CC(N)=C(C)O1,0.2119
OC1=CN(N=N1)C1CC1,0.2236
CC1CN1C1(C)CC1,0.3012
COC1COC11COC1,0.3093
CCCOC(N)=O,0.3235
NC(=O)C1OC2CNC12,0.2444
OCCCCC(F)(F)F,0.3436
CC1(CC=O)CN=CO1,0.221
CCCCC#CC#C,0.2315
NC(=O)C12CC(O)C1N2,0.2577
CC(O)C1NC1(C)C#C,0.2744
CC1C2CC3(CC3)C12,0.3346
NC(=O)C(C#N)N1CC1,0.2577
NC(=O)CC1OC1CO,0.2697
CCC12CC3CC(C1)C23,0.3358
CC1C(C)C(C)=CC1=O,0.193
CN=C1CCC=CCO1,0.2394
CCC1=CC=NC=C1C,0.2283
C1OC1C1CC2CCC12,0.3334
CC12C3CCC1OCC23,0.3183
OC12CCCC11CC2O1,0.2932
NC1C2(N)CNC12C#N,0.22899999999999998
CC(OC=O)C1CC1C,0.28300000000000003
N1C=CN=CC=CN=C1,0.1777
CC1CN2N=CC=C2C1,0.2604
CN=C1CC2(CC2)O1,0.2707
CC1(O)C2NC1C2C#C,0.2791
COC(=O)CO,0.2737
C1C2C3C4C5C(C1N35)N24,0.2613
CN1C=C(O)N=C1C#C,0.1822
CC1=C(CO)C(N)=CN1,0.217
CC1OC(=N)C1C1CO1,0.2876
CCC(C)C(C)C(C)C,0.368
CC12CC(C1)C1(O)CC21,0.326
CC1CC2CC2C(=O)O1,0.2634
OC1CC2(CC12)C1CC1,0.3085
CC1(CC#C)C(O)C1O,0.2765
CC1=CC2CN2C1C=O,0.1907
OC1CC1OC1COC1,0.3085
OC(CC#N)C#N,0.3095
CC12CC(C)(C1)C(O)C2,0.3361
CC(C)N1N=CC=C1O,0.2554
O=CCCCCC1CO1,0.2289
C1CC2=C(O1)OC=N2,0.2165
CCC1OC1C(O)C#C,0.2822
COC1=CNC(=O)N1C,0.2313
CC1(CN1)C1COCO1,0.3202
COC1=C(CO)C=CO1,0.2294
NC1=C(O)C=NC(=O)O1,0.1696
CC1(CCOC1=N)C#N,0.273
NC1=CC(=O)C(=O)NC1,0.1741
COC(CC=O)CC#C,0.2195
OCCCCCCCO,0.3416
OCC1(CO1)C1CN1,0.32
OC1C2CC3(CC3)C12O,0.3042
OC12CC3C(OC1)C23,0.2952
OC12CC1(CC2=O)C=O,0.1943
CCOC(CC=O)C#C,0.2222
OC1COCC11COC1,0.3074
CCC12CC(C1)C1OC21,0.3367
COC12CC1NC2C=O,0.1978
OC1COC1(C=O)C=O,0.1814
CCC#CC(C)(O)CO,0.2827
OCC1C2COC1C2=O,0.2078
O=C1C2CN3C2C=CC13,0.1831
O=C(C#C)N1CCN=C1,0.1971
O=C1C2CCN2C1C#C,0.1972
C1CC2OC=NCCC12,0.2605
CC12OC1CC2(C)C=O,0.2206
OCCC1(CC1O)C#C,0.2892
CC(C)(C=O)C1CO1,0.2216
C1CC(C1)N=C1CCO1,0.27
CC1=NON=C1NC=N,0.2095
CC(C)C(C)OC1CC1,0.3169
C1C2OC11CC=CC21,0.2356
C1NC11C2C3C4C2C1N34,0.2985
O=C1C2C3C2C1C3C#N,0.23800000000000002
CC(=O)C1(COC1)C#C,0.2228
CC1=NC(=O)N=C(N)O1,0.2162
CC12CC1(O)CCO2,0.2974
COC1CCC=C1C#N,0.2134
O=C1NN=CC(=O)C=C1,0.16399999999999998
COC1=COC=CC1=N,0.1896
OC1CC1(O)C1CN1,0.2852
CCC1=CN=CC(O)=N1,0.1979
OCC1=CC(=O)NC=C1,0.1825
CC(=O)NC(=O)C1CO1,0.2125
O=CC1=NNC(=C1)C#C,0.1963
OC1C2CC3CN3C12,0.2849
CCC1=CC=COC1=N,0.1673
CCC1(O)CC2CC2C1,0.3265
COCC1(O)CC(O)C1,0.32299999999999995
O=C(CC#N)C1CO1,0.2183
CC(C)C1CC1OC=O,0.2732
COC1CCC(C)OC1,0.3142
CC1=CC2=C(N1)OC=N2,0.2105
CC1N(C)C1(C)CC#N,0.2666
CC1CC1(O)C(C)=O,0.2246
O=C1NC2C3C2C2C3C12,0.2572
OC1=CC=C(O)C(F)=N1,0.1917
CC(C)C12CC1C1CN21,0.2907
OCC#CC(O)C=O,0.2193
CCC12CC1OCC2=O,0.2141
CN1CC2(CO)C(O)C12,0.2617
OC1(CC1OC=O)C#C,0.2652
CC1OCCC(C=O)=C1,0.1953
CNC1C(C)OC1=N,0.2557
CC12C(O)C1CC2C=O,0.213
CN=C1C=NOC(N)=N1,0.187
N#CC1=NC=CN=C1,0.1901
COC1(C)CC2CN2C1,0.2973
OC(C#C)C(O)C#N,0.292
C1C2C=CC3=NC=C1N23,0.1515
CNC(=O)C1NCC1O,0.2558
CC12COC1(C)CCC2,0.3178
CCCC1CC(=O)N1,0.284
CC1CC(C)=CCO1,0.262
CC1CC2NC2(C1)C#C,0.2668
NC1=CC(=N)OC(=O)C1,0.19699999999999998
O=CC1CCOC2CC12,0.221
CC12CCC1(C)N1CC21,0.3117
CC(O)CCCC#C,0.3143
O=CCCC(=O)NC=O,0.2183
CCC12CCOC1CO2,0.3215
CNC(=N)C(C)=O,0.1711
CC1OC1CC#CC#C,0.2303
CNC(C)(C#N)C(C)=O,0.2231
OCC(=O)CCC#C,0.2318
CC1CC2C3CC(C3)C12,0.3542
CCOC1=NC(N)=NO1,0.2487
NC12C(CO)C1OC2=O,0.2342
CC1(O)CC(=O)C=C1,0.1912
CC1OC23CC(C)(C2)C13,0.3011
OCC12C(O)C1N1CC21,0.2759
OCC1COC11CCC1,0.3036
CC(N)(CC1CC1)C#N,0.3009
CC12OC1COC2=O,0.2524
CC(=O)C1=CC(=O)CC1,0.1579
O=C1NC2=C(O1)N=CO2,0.2003
OCC1(O)CCC1C#N,0.2978
CC12CCC(N1)C2=NO,0.2613
CC1C2COC(C)C12,0.3246
CC12C3N1CC3=CC2O,0.1743
O=C1CC2CCC1CC2,0.2216
C1C2CC3OC=NC3C12,0.2723
CN1CC1C(C)(C)C#C,0.2665
N#CC1CC2OCC2N1,0.2758
COCC1=C(N)C=NO1,0.2043
CNC1C(NC1=N)C#N,0.2436
C1N=CNC2=COC=C12,0.213
CCN1C2COC(C)C12,0.3015
O=C1CN=C(C1)N1CC1,0.2105
CC12C3C1C1OC3C2O1,0.3527
C1CC11CC2(COC2)O1,0.298
CC(C)(C)CC#CC#C,0.2295
O=C1OC=C(CC#N)O1,0.2518
CC1=CC2(CC1O2)C#N,0.233
CC1N2CC2C1(O)C#N,0.2569
CC(C)C12CC1OC2=O,0.276
O=CNCC1CCC1,0.2825
CN1C2C=CC3CC2C13,0.2147
O=CC(=O)C1CC2CN12,0.1453
CC1=CC2C3N2CC=C13,0.1687
N=COCCCCC#N,0.2839
CCOC(C=O)C(C)O,0.2134
O=C1C(CC#C)C2CN12,0.2303
CN1C2CC(C)(C)C12,0.3054
CCC1CN1CC#CC,0.2678
CC1(CN1)C(CO)C#C,0.2904
CCC1CN(C)C1C#N,0.2516
COC(C)C(CO)CO,0.3111
O=CC1CNC1=O,0.2212
NC1=C(N)C(CO)=CO1,0.226
CC1CC2CC=CC12,0.2595
CC1C2N3C1CC23C#C,0.2622
OCCCCC1CCO1,0.3221
O=C1CC2(N1)C1CC2C1,0.284
C#CCC1=CN=NN=N1,0.1643
C1CC11OC2COC12,0.293
OC1CC2OC(=N)OC12,0.3003
NC(=NCC#C)C#N,0.223
CCC1CC=CC1(C)O,0.2656
CC1=CC2OC2(C)C1=O,0.1752
CN(C=O)C1=NNN=N1,0.2099
CC1C2C1(C)CC2(C)O,0.3141
CN1CC11COCOC1,0.3088
CC1C2(O)C3CC3C12O,0.2796
CCC(O)(C=O)C(N)=O,0.203
CC1(C)CC(=O)C=C1,0.1922
O=C1CNC2(CC12)C#N,0.19699999999999998
CC1CC23CC12C=CC3,0.2351
CC1C2OC(C)(C#C)C12,0.2611
NC1=NON=C1CC=O,0.1907
CCN1C=CC(=O)C=N1,0.1853
OCC1=CCC(C1)=NO,0.2422
CC1(CC1)C1CCC1,0.3394
NC1=NC2CCOC2O1,0.2826
NC1=NC2=C(NN=N2)N1,0.2094
CC1(C)CCC(C=O)=C1,0.1937
OC1CC11CC2CC2C1,0.3334
C1NC2=NCCC3OC123,0.2399
CC1CC1C1OC1C#C,0.2746
COC1OCCCC=C1,0.2551
C1OCC2=NOC=C12,0.2355
O=C1CNC2(CC12)C#C,0.1939
COC1CC(C)C1(C)C,0.3233
COCC#CCC=O,0.2192
NC(C#N)C1=CON=N1,0.2241
CCCCC#CC1CN1,0.2671
CC1(CCC1)NC=O,0.2764
CN1C(=N)NC=NC1=O,0.2091
CC#CC12CC1C1NC21,0.2409
CCCC(=O)OCC=O,0.2288
C1CC2C3OC2C3O1,0.3042
CC1N(C)C(=O)NC1=N,0.2473
CC1C=CCOC1C#N,0.265
O=CNC1CCC2OC12,0.27899999999999997
O=C1CN=COC11CC1,0.2054
CC1CC2CC2(O)C1,0.3126
CC1C2CC3C2C3C1=O,0.2221
CCN1N=C(C)N=C1C,0.2575
CC1OC1C1CN=CO1,0.2728
FC1=NON=CC1=N,0.1866
CC1=CC(=O)NC1=O,0.179
CCC12CC1CC2(C)C,0.3275
O=CCN1CC11CCC1,0.2177
CCC12CC1C1CC2O1,0.3274
O=CC1(OCC=C1)C#N,0.207
N=C1OCC1C1CO1,0.2869
CC(CO)C1=CC=CO1,0.2362
CN1C2CC2(C)C1C=O,0.1833
CC1CC=CCOC1=O,0.24600000000000002
CCC#CCN1CC1C,0.2672
N#CCN1C=NC2CC12,0.2276
CC(CO)OC1CC1,0.3256
CC1CN1C1CC1CO,0.3057
CC1C2C3N1C(=O)C23O,0.2434
C1CN2CC3OCC2C13,0.3032
CC12CC3(CCC13)CO2,0.2972
CCNC1=NN(C)N=N1,0.2061
CCC1(CC1)C(C)C#N,0.3182
CC#CCCC1CCC1,0.3037
OCCC1C2CC2C1=O,0.2259
